x,y,dy,groove
93,212,0,0
94,212,0,0
95,211,1,0
96,211,0,0
97,211,0,0
98,211,0,0
99,211,0,0
100,211,0,0
101,210,1,0
102,210,0,0
103,209,1,0
104,209,0,0
105,208,1,0
106,208,0,0
107,208,0,0
108,207,1,0
109,207,0,0
110,207,0,0
111,207,0,0
112,206,1,0
113,206,0,0
114,205,1,0
115,205,0,0
116,205,0,0
117,205,0,0
118,205,0,0
119,205,0,0
120,204,1,0
121,204,0,0
122,204,0,0
123,203,1,0
132,201,2,0
133,200,1,0
134,200,0,0
135,200,0,0
136,199,1,0
137,199,0,0
138,199,0,0
139,199,0,0
140,198,1,0
141,198,0,0
142,197,1,0
143,197,0,0
144,197,0,0
145,197,0,0
146,197,0,0
147,197,0,0
148,195,2,0
149,245,50,1
150,264,19,1
151,271,7,1
152,267,4,0
153,194,73,1
154,193,1,0
155,193,0,0
156,193,0,0
157,193,0,0
158,192,1,0
159,192,0,0
160,191,1,0
161,191,0,0
162,191,0,0
163,191,0,0
164,191,0,0
165,191,0,0
166,190,1,0
167,190,0,0
168,189,1,0
169,189,0,0
170,189,0,0
171,190,1,0
172,188,2,0
173,187,1,0
174,186,1,0
175,186,0,0
176,186,0,0
177,186,0,0
178,186,0,0
179,185,1,0
180,184,1,0
181,184,0,0
182,184,0,0
183,184,0,0
184,184,0,0
185,184,0,0
186,184,0,0
187,180,4,0
188,181,1,0
189,181,0,0
190,181,0,0
191,181,0,0
192,179,2,0
193,179,0,0
196,177,2,0
197,177,0,0
198,177,0,0
199,286,109,1
200,299,13,1
201,304,5,0
202,305,1,0
203,301,4,0
204,292,9,1
205,272,20,1
206,270,2,0
207,265,5,0
208,256,9,1
209,245,11,1
210,238,7,1
211,234,4,0
212,222,12,1
213,214,8,1
214,209,5,0
215,198,11,1
216,198,0,0
217,194,4,0
218,189,5,0
219,186,3,0
220,187,1,0
221,184,3,0
222,181,3,0
223,178,3,0
224,167,11,1
225,168,1,0
226,170,2,0
227,170,0,0
228,171,1,0
230,167,4,0
231,167,0,0
232,167,0,0
233,167,0,0
234,167,0,0
235,166,1,0
236,166,0,0
237,167,1,0
238,167,0,0
239,166,1,0
240,166,0,0
241,166,0,0
242,166,0,0
