x,y
103,0
90,1
90,2
90,3
91,4
98,8
98,9
98,10
98,11
107,14
107,15
107,16
105,18
105,19
105,20
93,157
93,158
91,159
103,160
103,161
103,162
103,167
103,168
103,169
103,170
103,171
103,172
101,174
101,175
86,176
101,177
103,178
101,179
101,182
101,183
101,184
84,185
101,186
84,187
101,188
83,189
100,190
83,191
83,192
82,193
88,194
81,195
99,196
82,197
81,198
81,199
81,200
81,201
81,202
81,203
81,204
81,205
80,206
78,207
79,208
80,209
79,210
79,211
98,212
80,213
79,214
79,215
78,216
77,217
76,218
73,219
72,220
71,221
68,222
68,223
98,224
99,225
99,226
103,227
103,228
103,229
108,230
108,231
70,241
69,242
70,243
70,244
71,245
107,246
71,247
71,248
71,249
70,250
70,251
70,252
70,253
70,254
76,255
77,256
77,257
77,258
77,259
77,260
77,261
97,262
97,263
97,264
98,265
77,266
77,267
97,268
97,269
97,270
78,271
78,272
78,273
79,274
78,275
79,276
79,277
79,278
85,279
79,280
79,281
79,282
80,283
80,284
97,285
97,286
97,287
98,288
87,289
87,290
87,291
87,292
87,293
98,294
98,295
98,296
98,297
100,298
98,299
98,300
98,301
98,302
99,303
99,304
99,305
98,306
89,307
87,308
88,309
89,310
91,311
90,312
